"","species","family","order","morpho_FSp","morpho_FUn","morpho_FUSE","morpho_FDis","lifehistory_FSp","lifehistory_FUn","lifehistory_FUSE","lifehistory_FDis","diet_FSp","diet_FUn","diet_FUSE","diet_FDis","aggregated_FSp","aggregated_FUn","aggregated_FUSE","aggregated_FDis"
"56","Accipiter_soloensis","Accipitridae","Accipitriformes",0.25412909087055,0.12128914736773,0.0167934300321122,0.37541823823828,0.179285409041711,0.0536711614987088,0.0104614992810373,0.23295657054042,0.877830947352367,0.104055533850211,0.0432121606192034,0.981886481202578,0.429167350137968,0.241109032609258,0.0297446602313808,0.670276382747226
"57","Accipiter_striatus","Accipitridae","Accipitriformes",0.25241821717568,0.0959950564788888,0.0189912575462238,0.348413273654568,0.237070000771485,0.0930440445815945,0.018004688999347,0.330114045353079,0.96788837740771,1.18803704999719e-14,0.0517086066609389,0.967888377407722,0.472685113734664,0.198677885020778,0.0362100908202293,0.671362998755442
"58","Accipiter_superciliosus","Accipitridae","Accipitriformes",0.122077276190965,0.0704787881635263,0.0100641800154126,0.192556064354491,0.160938132675509,0.0833735559116275,0.0127486769856031,0.244311688587136,0.960880384985254,2.998250641744e-13,0.0490575597172075,0.960880384985554,0.421204845954472,0.377590763919115,0.0409811292480367,0.798795609873587
"59","Accipiter_tachiro","Accipitridae","Accipitriformes",0.347917726095391,0.0898147628063214,0.0260152910093887,0.437732488901713,0.133092391889577,0.0405964110761295,0.0104181831202081,0.173688802965706,0.874949235587271,0.0520277669251754,0.0541816993637046,0.926977002512446,0.462033710831738,0.186650018733906,0.0382741387521883,0.648683729565644
"60","Accipiter_toussenelii","Accipitridae","Accipitriformes",0.307823342315332,0.112469325244593,0.0171405265077545,0.420292667559924,0.132059712504718,0.0405728132437058,0.00709836356540405,0.172632525748423,0.874949235587271,0.0520277669251755,0.0371903684096745,0.926977002512447,0.443677013148627,0.195189094793477,0.0258693712038563,0.638866107942104
"61","Accipiter_trinotatus","Accipitridae","Accipitriformes",0.197992525033306,0.0765945685712317,0.0105093131234397,0.274587093604538,0.13864925400031,0.0462999059884753,0.00709497847724305,0.184949159988785,0.791890874234445,0.295017110672135,0.0407576389564541,1.08690798490658,0.370078387768203,0.303758796000268,0.0255291358100129,0.673837183768471
"62","Accipiter_trivirgatus","Accipitridae","Accipitriformes",0.330622684356019,0.0753152092870334,0.0216229215156617,0.405937893643053,0.181944691576282,0.0473509793565344,0.0122939504153217,0.229295670932816,0.763003026338354,7.1030642924187e-14,0.0401179638241096,0.763003026338425,0.42026164869824,0.255462955679899,0.0356409569791209,0.675724604378139
"63","Accipiter_virgatus","Accipitridae","Accipitriformes",0.210647124343764,0.0920008236265846,0.0143647059159505,0.302647947970348,0.165100090544973,0.0540670611658657,0.0104295179202823,0.219167151710839,0.763003026338355,7.12189396113901e-14,0.035707490437059,0.763003026338426,0.366992751709328,0.215644483200254,0.0274164219828414,0.582637234909583
"64","Aceros_nipalensis","Bucerotidae","Bucerotiformes",0.71972435262009,0.196270702373651,0.212180984170769,0.915995054993741,0.415660933120858,0.107072919416657,0.126733240104623,0.522733852537515,0.807632948164024,3.18342433777536e-14,0.189378749895504,0.807632948164056,0.712191596804214,0.320682275678835,0.23618898449218,1.03287387248305
"65","Acridotheres_albocinctus","Sturnidae","Passeriformes",0.0780225064993733,0.0400634639755255,0.00564852702007834,0.118085970474899,0.164570856213575,0.0380002486829409,0.00966495837273959,0.202571104896516,0.096112928435489,0.246755831095669,0.0162896480452794,0.342868759531158,0.0729929845001402,0.231036846448364,0.0144613061114737,0.304029830948504
"66","Acridotheres_cinereus","Sturnidae","Passeriformes",0.0724986995252328,0.0248118549852379,0.025022761914307,0.0973105545104706,0.171518617351903,0.0468494427918954,0.0552706359392307,0.218368060143798,0.0581125761251506,6.63770092678594e-14,0.0150214197204766,0.058112576125217,0.0609926262747993,0.197638279177677,0.0651241327808898,0.258630905452476
"67","Acridotheres_cristatellus","Sturnidae","Passeriformes",0.0987350624943716,0.0390091364618433,0.00604040345072193,0.137744198956215,0.191398180448671,0.0835524866131549,0.0120038275131107,0.274950667061826,0.192594757487177,0.328289044194951,0.0225627936878694,0.520883801682128,0.121911173422408,0.362242904834123,0.0209962600528176,0.484154078256531
"68","Acridotheres_fuscus","Sturnidae","Passeriformes",0.0653839438831883,0.0350289892618643,0.00359592567031787,0.100412933145053,0.179672695576669,0.0405342164898177,0.00786323886166355,0.220206912066487,0.137565142869529,0.236522378582951,0.0133090763637043,0.374087521452481,0.0883399804419991,0.268184420976353,0.0126895289469804,0.356524401418353
"69","Acridotheres_ginginianus","Sturnidae","Passeriformes",0.0456036295887334,0.0446179157534838,0.00513260730350656,0.0902215453422172,0.229920288666705,0.0617465550006654,0.0164830959814552,0.291666843667371,0.096112928435489,0.246755831095669,0.0193443572349369,0.342868759531158,0.0891475692627972,0.239683516706073,0.0185608511907117,0.32883108596887
"70","Acridotheres_grandis","Sturnidae","Passeriformes",0.0778932906794967,0.03201326364407,0.00335344762473728,0.109906554323567,0.224340619081117,0.0661154067382171,0.00882870772537406,0.290456025819334,0.0197340669820882,6.42920894285598e-14,0.000603273145343428,0.0197340669821525,0.0731681803307792,0.218769658925195,0.00887347314224353,0.291937839255974
"71","Acridotheres_tristis","Sturnidae","Passeriformes",0.110403437361142,0.0642130967067454,0.00731135631945308,0.174616534067887,0.283875685449556,0.195941644761663,0.019922169243443,0.479817330211219,0.0922605480395204,0.573855984222571,0.0275177002116584,0.666116532262092,0.13177291527397,0.521454102217784,0.0269946351178757,0.653227017491753
"72","Acrobatornis_fonsecai","Furnariidae","Passeriformes",0.211606290062899,0.0395950953095716,0.05570349863456,0.25120138537247,0.0923744399777022,0.0234471696525131,0.0260967516985628,0.115821609630215,0.139180549421727,5.63697688059214e-16,0.0312726159846555,0.139180549421728,0.135782148863268,0.0627401474311233,0.0442940265402991,0.198522296294392
"73","Acrocephalus_aequinoctialis","Sylviidae","Passeriformes",0.131784018626961,0.0438369875752286,0.0945951988752033,0.17562100620219,0.123772784484442,0.0247216002033813,0.080567427929138,0.148494384687823,0.165393247290316,2.82791163540458e-14,0.0893297492942138,0.165393247290345,0.106877336585784,0.166277528743039,0.143436460193913,0.273154865328822
"74","Acrocephalus_agricola","Sylviidae","Passeriformes",0.2649749929386,0.0338790779775631,0.0151412471558235,0.298854070916163,0.222736064696197,0.0291553620155398,0.0127824293343001,0.251891426711737,0.139180549421727,4.64752907179256e-16,0.0070902513907191,0.139180549421728,0.199973954602188,0.0902796592647262,0.0147098311900118,0.290253613866914
"75","Acrocephalus_arundinaceus","Sylviidae","Passeriformes",0.0520375634226475,0.0366565644083654,0.00425835321793885,0.0886941278310129,0.147383676347189,0.0419456630695039,0.00905900477141437,0.189329339416693,0.122774518685012,2.42600474560458e-13,0.0058877762531117,0.122774518685255,0.068664567951368,0.201645242359142,0.0128984397628275,0.27030981031051
"76","Acrocephalus_australis","Sylviidae","Passeriformes",0.144064802550111,0.0492667777231953,0.00617645967036533,0.193331580273306,0.173566310087197,0.0439346855097053,0.00694454070416631,0.217500995596902,0.139180549421727,4.86988019508671e-16,0.00445232506116823,0.139180549421728,0.117375438155772,0.07997544361565,0.00630425148016064,0.197350881771422
"77","Acrocephalus_bistrigiceps","Sylviidae","Passeriformes",0.275738149768841,0.0814403173602487,0.0146370001531906,0.35717846712909,0.242388033270165,0.0372458310426075,0.0114807511861698,0.279633864312773,0.139180549421727,4.43754204289805e-16,0.00573377034153924,0.139180549421728,0.212735437882944,0.102437813241447,0.0129287517440385,0.315173251124391
"78","Acrocephalus_brevipennis","Sylviidae","Passeriformes",0.207291812346196,0.0479504312693791,0.0626132584691031,0.255242243615575,0.103080872558259,0.0211195117127926,0.0309772421579467,0.124200384271052,0.0906990715051798,1.13253568074111e-13,0.0227195058957669,0.0906990715052931,0.121025655430302,0.14134362817695,0.064304404765118,0.262369283607252
"79","Acrocephalus_concinens","Sylviidae","Passeriformes",0.270454673839519,0.0488931184449479,0.0131468486213927,0.319347792284467,0.17428123393106,0.0400752382425851,0.00885341693543653,0.214356472173645,0.139180549421727,5.33728156071922e-16,0.00576199465246472,0.139180549421728,0.19034910716466,0.0764550288868427,0.0110016565725116,0.266804136051502
